"Select to activate","Zur Aktivierung auswählen"
"Only attributes which are used in product listing are shown","Die Auswahl beinhaltet die für Produkte aktivierten Attribute"
"Transfer Shop Logo","Shop-Logo übermitteln"
"Product Information Properties","Werte zu Produktinformationen"
"Short Description","Kurzbeschreibung"
"Long Description","Lange Beschreibung"
"Content for Description Property","Inhalt für den Wert &quot;description&quot;"
"Attribute for Color Property","Attribut für den Wert &quot;color&quot;"
"Attribute for SKU Property","Attribut für den Wert &quot;sku&quot;"
"Attribute for ProductID Property","Attribut für den Wert &quot;productID&quot;"
"Attribute for Brand Property","Attribut für den Wert &quot;brand&quot;"
"Art.nr.:","Art.Nr.:"
"Enable Aggregated Category Ratings","Aggregierte Kategoriebewertungen verwenden"
"Enable Facebook OpenGraph","Facebook Open Graph aktivieren"
"Color","Farbe"
"Manufacturer","Hersteller"
"Organization Properties","Organisations-Eigenschaften"
"Company Name","Firmenname"
"Location / City","Stadt / Ort"
"Founding Date","Gründungsdatum"
"Brand","Marke"
"Absolute URL to company logo","Absolute URL zum Firmenlogo"
